pop,model,cost_weight,total_model_cost,total_model_latency,accuracy,f1_score
AHL,AHL,1,1365.3197999999477,648265059.22632,0.2704884941461445,0.4258023514458214
ONL,ONL,1,841.278799999917,703452333.6571407,0.8134391961602296,0.6498273974909489
SVML,SVML,1,1328.6379999999408,653030946.4079549,0.311106625398107,0.4382258802011888
SV-Grid,SV-Grid,1,1125.8264999999278,672826602.3920251,0.5197595657829812,0.4872359787346137
SV,SV,1,1179.737099999934,671397840.9862853,0.4608621540393846,0.4629100008937349
SV-Grid,SV-Grid,10,1004.0106999999252,688784759.5014899,0.6442829587762975,0.5321257891321022
SVML,SVML,20,1053.5552999999206,678102372.7982999,0.5958148297671915,0.5177811672152204
SV,SV,20,942.8386999999212,693468406.0036817,0.7057820840622617,0.560093896713615
SVMR,SVMR,30,814.6310999999206,719919886.3500419,0.8203247656214956,0.5881869120444148
SV,SV,30,891.8074999999272,700167286.8194443,0.7535773561207554,0.5769837908597389
SV-Grid,SV-Grid,80,809.16179999992,1002067033.5998276,0.8180146234243934,0.5516631672007957
SV-Grid,SV-Grid,90,808.4013999999199,1042461397.1357985,0.8140223388507604,0.5246503095620271
